id,first_name,last_name,affiliation,status
1,Hillary ,Clinton,Democrat,active
2,Bernie,Sanders,Democrat,active
3,Martin,O'Malley,Democrat,inactive
4,Ted,Cruz,Republican,active
5,John,Kasich,Republican,active
6,Donald,Trump,Republican,active
7,Marco,Rubio,Republican,inactive
8,Ben,Carson,Republican,inactive
9,Jeb,Bush,Republican,inactive
10,Jim,Gilmore,Republican,inactive
11,Chris,Christie,Republican,inactive
12,Carly,Fiorina,Republican,inactive
13,Rick,Santorum,Republican,inactive
14,Rand,Paul,Republican,inactive
15,Mike,Huckabee,Republican,inactive
