name,symbol,state_id,,gen_date,gen_delegates,trump_delegates,cruz,rubio,casich,rep_date,rep_contest_type,rep_delegates,,dem_date,rep_contest_type,dem_total_delegates,dem_super_delegates,dem_pledged_delegates,,dem_clinton,dem_sanders,dem_clinton_pledged,dem_clinton_super,dem_clinton)toal,dem_sanders_pledged,dem_sanders_super,dem_sanders_total,dem_other_pledged,dem_other_super,dem_other_total,"dem_sanders_pledged,","dem_clinton_pledged,",,"['name'], ['symbol']"
Alabama,AL,1,,11/08/16,9,,,,,03/01/16,primary,50,,03/01/16,primary,60,7,53,,"309,071 (77.9%)","76,059 (19.2%)",44,4,48,9,0,9,0,3,3,"9,","44,","44,","['Alabama','AL']"
Alaska,AK,2,,11/08/16,3,,,,,03/01/16,caucus,28,,03/26/16,caucus,20,4,16,,"2,146 (20.2%)","8,447 (79.6%)",3,1,4,13,1,14,0,2,2,"13,","3,",,"['Alaska','AK']"
American Samoa,AS,3,,11/08/16,,,,,,03/22/16,caucus,9,,03/01/16,caucus,10,4,6,,162 (68.4%),61 (25.7%),4,4,8,2,1,3,0,0,0,"2,","4,",,"['American Samoa','AS']"
Arizona,AZ,4,,11/08/16,11,,,,,03/22/16,primary,58,,03/22/16,primary,85,10,75,,"262,459 (56.3%)","192,962 (41.4%)",42,5,47,33,2,35,0,3,3,"33,","42,",,"['Arizona','AZ']"
Arkansas,AR,5,,11/08/16,6,,,,,03/01/16,primary,40,,03/01/16,primary,37,5,32,,"146,057 (66.1%)","66,236 (30.0%)",22,5,27,10,0,10,0,0,0,"10,","22,",,"['Arkansas','AR']"
California,CA,6,,11/08/16,55,,,,,06/07/16,primary,172,,06/07/16,primary,546,71,475,,–,–,–,52,52,–,0,0,475,21,496,"–,","–,",,"['California','CA']"
Colorado,CO,7,,11/08/16,9,,,,,03/01/16,caucus,37,,03/01/16,caucus,79,13,66,,"49,789 (40.3%)","72,846 (59.0%)",25,9,34,41,0,41,0,3,3,"41,","25,",,"['Colorado','CO']"
Connecticut,CT,8,,11/08/16,7,,,,,04/26/16,primary,28,,04/26/16,primary,70,15,55,,"170,080 (51.8%)","152,415 (46.4%)",28,15,43,27,0,27,0,1,1,"27,","28,",,"['Connecticut','CT']"
Delaware,DE,9,,11/08/16,3,,,,,04/26/16,primary,16,,04/26/16,primary,31,10,21,,"55,950 (59.8%)","36,659 (39.2%)",12,7,19,9,0,9,0,3,3,"9,","12,",,"['Delaware','DE']"
Democrats Abroad,DA,10,,11/08/16,,,,,,,,,,03/01/16,caucus,17,4,13,,"10,689 (30.9%)","23,779 (68.9%)",4,2,6,9,1,10,0,1,1,"9,","4,",,"['Democrats Abroad','DA']"
Washington DC, DC,11,,11/08/16,3,,,,,03/12/16,convention,19,,06/14/16,primary,,45,25,20,–,–,–,21,21,–,2,2,20,3,23,"–,","–,",,"['Washington DC',' DC']"
Florida,FL,12,,11/08/16,29,,,,,03/15/16,primary,99,,03/15/16,primary,246,32,214,,"1,101,414 (64.4%)","568,839 (33.3%)",141,23,164,73,2,75,0,7,7,"73,","141,",,"['Florida','FL']"
